cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,,,,,,,,
"Carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",1,CH,kilogram,,production,"Carbon monoxide, from RWGS",,,,,,,,,,,,
"hydrogen production, gaseous, 25 bar, from electrolysis",0.07,RER,kilogram,,technosphere,"Hydrogen, gaseous, 25 bar",,,,,,,,,,,,
"carbon dioxide, captured from atmosphere",1.57,RER,kilogram,,technosphere,"carbon dioxide, captured from the atmosphere",,,,,,,,,,,,
Fixed bed reactor for RWGS,1.93E-09,RER,unit,,technosphere,Fixed bed reactor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"carbon dioxide, captured from atmosphere, EP2050",,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
reference product,"carbon dioxide, captured from the atmosphere",,,,,,,,,,,,,,,,,
comment,"assumptions: uses a high temperature heat pump heat with a CoP of 2.9 (MAJOR assumption) and electricity from grid, DAC unit located 1 km away from the synfuel plant, CO2 pressurized to 25 bar",,,,,,,,,,,,,,,,,
source,"Life cycle assessment of direct air carbon capture and storage with low-carbon energy sources. Tom Terlouw, Karin Treyer, Christian Bauer and Marco Mazzotti. 2021. Energy & Environmental Science",,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,comment,,,,,,,,,,
"carbon dioxide, captured from atmosphere, EP2050",1,carculator db,CH,kilogram,,production,"carbon dioxide, captured from the atmosphere",,,,,,,,,,,
"Carbon dioxide, in air",1,biosphere3,,kilogram,natural resource::in air,biosphere,,,,,,,,,,,,
